SemSort	ID	Section	PINTCard	Aligned	AlignedCard	Level	BT	BT_ja	DT	Desc	Desc_ja	Explanation	Explanation2	Example	SyntSort	element	UBLdatatype	XPath	selectors	Codelist	SyntaxCard	UBLOccurrence	CAR	AlignedRule	SharedRule	CodelistRule	PooledRule
																		/ubl:Invoice			1..1						
	ibt-024	Shared			1..1	1	Specification identifier		Identifier	An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.						cbc:CustomizationID		/ubl:Invoice/cbc:CustomizationID			1..1						
	ibt-023	Shared			1..1	1	Business process type		Text	Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way.						cbc:ProfileID		/ubl:Invoice/cbc:ProfileID			1..1						
	ibt-001	Shared			1..1	0	Invoice number		Identifier	A unique identification of the Invoice.						cbc:ID		/ubl:Invoice/cbc:ID			1..1						
	ibt-002	Shared			1..1	0	Invoice issue date		Date	The date when the Invoice was issued.						cbc:IssueDate		/ubl:Invoice/cbc:IssueDate			1..1						
	ibt-168	Shared			0..1	0	Invoice issue time		Time	The time of day when an invoice was issued						cbc:IssueTime		/ubl:Invoice/cbc:IssueTime			0..1						
	ibt-009	Shared			0..1	0	Payment due date		Date	The date when the payment is due.						cbc:DueDate		/ubl:Invoice/cbc:DueDate			0..1						
	ibt-003	Shared			1..1	0	Invoice type code		Code	A code specifying the functional type of the Invoice.						cbc:InvoiceTypeCode		/ubl:Invoice/cbc:InvoiceTypeCode			1..1						
	ibt-022	Shared			0..1	0	Invoice note		Text	A textual note that gives unstructured information that is relevant to the Invoice as a whole.						cbc:Note		/ubl:Invoice/cbc:Note			0..1						
	ibt-007	Aligned			0..1	0	TAX point date		Date	The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the TAX directive.						cbc:TaxPointDate		/ubl:Invoice/cbc:TaxPointDate			0..1						
	ibt-005	Shared			1..1	0	Invoice currency code		Code	The currency in which all Invoice amounts are given, except for the Total TAX amount in accounting currency.						cbc:DocumentCurrencyCode		/ubl:Invoice/cbc:DocumentCurrencyCode			1..1						
	ibt-006	Aligned			0..1	0	Tax accounting currency		Code	The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.						cbc:TaxCurrencyCode		/ubl:Invoice/cbc:TaxCurrencyCode			0..1						
	ibt-019	Shared			0..1	0	Buyer accounting reference		Text	A textual value that specifies where to book the relevant data into the Buyer’s financial accounts.						cbc:AccountingCost		/ubl:Invoice/cbc:AccountingCost			0..1						
	ibt-010	Shared			0..1	0	Buyer reference		Text	An identifier assigned by the Buyer used for internal routing purposes.						cbc:BuyerReference		/ubl:Invoice/cbc:BuyerReference			0..1						
	ibg-14	Shared			0..1	1	INVOICING PERIOD			A group of business terms providing information on the invoice period.						cac:InvoicePeriod		/ubl:Invoice/cac:InvoicePeriod			0..1						
	ibt-073	Shared			0..1	1	Invoicing period start date		Date	The date when the Invoice period starts.						cbc:StartDate		/ubl:Invoice/cac:InvoicePeriod/cbc:StartDate			0..1						
	ibt-074	Shared			0..1	1	Invoicing period end date		Date	The date when the Invoice period ends.						cbc:EndDate		/ubl:Invoice/cac:InvoicePeriod/cbc:EndDate			0..1						
	ibt-008	Aligned			0..1	0	TAX point date code		Code	The code of the date when the TAX becomes accountable for the Seller and for the Buyer.						cbc:DescriptionCode		/ubl:Invoice/cac:InvoicePeriod/cbc:DescriptionCode			0..1						
																cac:OrderReference		/ubl:Invoice/cac:OrderReference			0..1						
	ibt-013	Shared			0..1	0	Purchase order reference		Document Reference	An identifier of a referenced purchase order, issued by the Buyer.						cbc:ID		/ubl:Invoice/cac:OrderReference/cbc:ID			1..1						
	ibt-014	Shared			0..1	0	Sales order reference		Document Reference	An identifier of a referenced sales order issued by the Seller.						cbc:SalesOrderID		/ubl:Invoice/cac:OrderReference/cbc:SalesOrderID			0..1						
	ibg-03	Shared			0..n	0	PRECEDING INVOICE REFERENCE			A group of business terms providing information on one or more preceding Invoices.						cac:BillingReference		/ubl:Invoice/cac:BillingReference			0..n						
																cac:InvoiceDocumentReference		/ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference			1..1						
	ibt-025	Shared			1..1	1	Preceding Invoice reference		Document Reference	The identification of an Invoice that was previously sent by the Seller.						cbc:ID		/ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID			1..1						
	ibt-026	Shared			0..1	1	Preceding Invoice issue date		Date	The date when the Preceding Invoice was issued.						cbc:IssueDate		/ubl:Invoice/cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate			0..1						
																cac:DespatchDocumentReference		/ubl:Invoice/cac:DespatchDocumentReference			0..1						
	ibt-016	Shared			0..1	0	Despatch advice reference		Document Reference	An identifier of a referenced despatch advice.						cbc:ID		/ubl:Invoice/cac:DespatchDocumentReference/cbc:ID			1..1						
																cac:ReceiptDocumentReference		/ubl:Invoice/cac:ReceiptDocumentReference			0..1						
	ibt-015	Shared			0..1	0	Receiving advice reference		Document Reference	An identifier of a referenced receiving advice.						cbc:ID		/ubl:Invoice/cac:ReceiptDocumentReference/cbc:ID			1..1						
																cac:OriginatorDocumentReference		/ubl:Invoice/cac:OriginatorDocumentReference			0..1						
	ibt-017	Shared			0..1	0	Tender or lot reference		Document Reference	The identification of the call for tender or lot the invoice relates to.						cbc:ID		/ubl:Invoice/cac:OriginatorDocumentReference/cbc:ID			1..1						
																cac:ContractDocumentReference		/ubl:Invoice/cac:ContractDocumentReference			0..1						
	ibt-012	Shared			0..1	0	Contract reference		Document Reference	The identification of a contract.						cbc:ID		/ubl:Invoice/cac:ContractDocumentReference/cbc:ID			1..1						
																cac:AdditionalDocumentReference		/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode = 130]	[cbc:DocumentTypeCode = 130]		0..1						
	ibt-018	Shared			0..1	0	Invoiced object identifier		Identifier	An identifier for an object on which the invoice is based, given by the Seller.						cbc:ID		/ubl:Invoice/cac:AdditionalDocumentReference/cbc:ID			1..1						
	ibt-018-1				0..1	0	The identification scheme identifier of the Invoiced object identifier.		Code	If it may be not clear for the receiver what scheme is used for the identifier, a conditional scheme identifier should be used that shall be chosen from the UNTDID 1153 code list [6] entries.								/ubl:Invoice/cac:AdditionalDocumentReference/cbc:ID/@schemeID			0..1						
																cbc:DocumentTypeCode		/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode = 130]/cbc:DocumentTypeCode			1..1						
	ibg-24	Shared			0..n	0	ADDITIONAL SUPPORTING DOCUMENTS			A group of business terms providing information about additional supporting documents substantiating the claims made in the Invoice.						cac:AdditionalDocumentReference		/ubl:Invoice/cac:AdditionalDocumentReference	[cbc:DocumentTypeCode != 130]		0..n						
	ibt-122	Shared			1..1	1	Supporting document reference		Document Reference	An identifier of the supporting document.						cbc:ID		/ubl:Invoice/cac:AdditionalDocumentReference/cbc:ID			1..1						
	ibt-123	Shared			0..1	1	Supporting document description		Text	A description of the supporting document.						cbc:DocumentDescription		/ubl:Invoice/cac:AdditionalDocumentReference/cbc:DocumentDescription			0..1						
																cac:Attachment		/ubl:Invoice/cac:AdditionalDocumentReference[cbc:DocumentTypeCode != 130]/cac:Attachment			0..1						
	ibt-125	Shared			0..1	1	Attached document		Binary object	An attached document embedded as binary object or sent together with the invoice.						cbc:EmbeddedDocumentBinaryObject		/ubl:Invoice/cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject			0..1						
