name,datatype
creatorItemType,xbrli:stringItemType
periodCountItemType,xbrli:decimalItemType
sourceApplicationItemType,xbrli:stringItemType
targetApplicationItemType,xbrli:stringItemType
uniqueIDItemType,xbrli:stringItemType
revisesUniqueIDItemType,xbrli:stringItemType
languageItemType,xbrli:QNameItemType
creationDateItemType,xbrli:dateTimeItemType
entriesCommentItemType,xbrli:stringItemType
periodCoveredStartItemType,xbrli:dateTimeItemType
periodCoveredEndItemType,xbrli:dateTimeItemType
postedDateItemType,xbrli:dateTimeItemType
enteredByItemType,xbrli:stringItemType
enteredDateItemType,xbrli:dateTimeItemType
entryNumberItemType,xbrli:stringItemType
entryCommentItemType,xbrli:stringItemType
counterItemType,xbrli:decimalItemType
lineNumberItemType,xbrli:stringItemType
accountMainIDItemType,xbrli:stringItemType
accountMainDescriptionItemType,xbrli:stringItemType
parentAccountMainIDItemType,xbrli:stringItemType
accountPurposeDescriptionItemType,xbrli:stringItemType
accountSubDescriptionItemType,xbrli:stringItemType
accountSubIDItemType,xbrli:stringItemType
accountSubTypeItemType,xbrli:tokenItemType
parentSubaccountCodeItemType,xbrli:stringItemType
parentSubaccountTypeItemType,xbrli:stringItemType
reportingTreeIdentifierItemType,xbrli:stringItemType
parentSubaccountProportionItemType,xbrli:pureItemType
postingDateItemType,xbrli:dateTimeItemType
identifierCodeItemType,xbrli:stringItemType
identifierAuthorityCodeItemType,xbrli:stringItemType
identifierAuthorityItemType,xbrli:stringItemType
identifierAuthorityVerificationDateItemType,xbrli:dateTimeItemType
identifierDescriptionItemType,xbrli:stringItemType
identifierCategoryItemType,xbrli:stringItemType
identifierContactPrefixItemType,xbrli:stringItemType
identifierContactLastNameItemType,xbrli:stringItemType
identifierContactFirstNameItemType,xbrli:stringItemType
identifierContactSuffixItemType,xbrli:stringItemType
identifierContactAttentionLineItemType,xbrli:stringItemType
identifierContactPositionRoleItemType,xbrli:stringItemType
identifierContactTypeItemType,xbrli:stringItemType
documentNumberItemType,xbrli:stringItemType
documentApplyToNumberItemType,xbrli:stringItemType
documentReferenceItemType,xbrli:stringItemType
documentDateItemType,xbrli:dateTimeItemType
summaryReportingElementItemType,xbrli:QNameItemType
detailMatchingElementItemType,xbrli:QNameItemType
detailCommentItemType,xbrli:stringItemType
dateAcknowledgedItemType,xbrli:dateTimeItemType
confirmedDateItemType,xbrli:dateTimeItemType
shipFromItemType,xbrli:stringItemType
shipReceivedDateItemType,xbrli:dateTimeItemType
maturityDateItemType,xbrli:dateTimeItemType
termsItemType,xbrli:stringItemType
taxAuthorityItemType,xbrli:stringItemType
taxTableCodeItemType,xbrli:stringItemType
taxDescriptionItemType,xbrli:stringItemType
taxAmountItemType,xbrli:monetaryItemType
taxBasisItemType,xbrli:monetaryItemType
taxExchangeRateItemType,xbrli:pureItemType
taxPercentageRateItemType,xbrli:pureItemType
taxCodeItemType,xbrli:stringItemType
taxCommentExemptionItemType,xbrli:stringItemType
documentTypeDescriptionItemType,xbrli:stringItemType
mainAccountTypeDescriptionItemType,xbrli:stringItemType
postingStatusDescriptionItemType,xbrli:stringItemType
qualifierEntryDescriptionItemType,xbrli:stringItemType
accountTypeDescriptionItemType,xbrli:stringItemType
identifierOrganizationTypeDescriptionItemType,xbrli:stringItemType
organizationIdentifierItemType,xbrli:stringItemType
organizationDescriptionItemType,xbrli:stringItemType
webSiteDescriptionItemType,xbrli:stringItemType
webSiteURLItemType,xbrli:anyURIItemType
contactPrefixItemType,xbrli:stringItemType
contactLastNameItemType,xbrli:stringItemType
contactFirstNameItemType,xbrli:stringItemType
contactSuffixItemType,xbrli:stringItemType
contactAttentionLineItemType,xbrli:stringItemType
contactPositionRoleItemType,xbrli:stringItemType
contactTypeItemType,xbrli:stringItemType
businessDescriptionItemType,xbrli:stringItemType
fiscalYearStartItemType,xbrli:dateItemType
fiscalYearEndItemType,xbrli:dateItemType
organizationAccountingMethodStartDateItemType,xbrli:dateTimeItemType
organizationAccountingMethodEndDateItemType,xbrli:dateTimeItemType
accountantNameItemType,xbrli:stringItemType
accountantAddressNameItemType,xbrli:stringItemType
accountantAddressDescriptionItemType,xbrli:stringItemType
accountantAddressPurposeItemType,xbrli:stringItemType
accountantBuildingNumberItemType,xbrli:stringItemType
accountantStreetItemType,xbrli:stringItemType
accountantAddressStreet2ItemType,xbrli:stringItemType
accountantCityItemType,xbrli:stringItemType
accountantStateOrProvinceItemType,xbrli:stringItemType
accountantCountryItemType,xbrli:stringItemType
accountantZipOrPostalCodeItemType,xbrli:stringItemType
accountantContactPrefixItemType,xbrli:stringItemType
accountantContactLastNameItemType,xbrli:stringItemType
accountantContactFirstNameItemType,xbrli:stringItemType
accountantContactSuffixItemType,xbrli:stringItemType
accountantContactAttentionLineType,xbrli:stringItemType
accountantContactPositionRoleItemType,xbrli:stringItemType
accountantContactTypeItemType,xbrli:stringItemType
reportingCalendarCodeItemType,xbrli:stringItemType
reportingCalendarDescriptionItemType,xbrli:stringItemType
reportingCalendarTitleItemType,xbrli:stringItemType
reportingCalendarPeriodTypeDescriptionItemType,xbrli:stringItemType
periodIdentifierItemType,xbrli:stringItemType
periodDescriptionItemType,xbrli:stringItemType
periodStartItemType,xbrli:dateTimeItemType
periodEndItemType,xbrli:dateTimeItemType
periodClosedDateItemType,xbrli:dateTimeItemType
enteredByModifiedItemType,xbrli:stringItemType
entryResponsiblePersonItemType,xbrli:stringItemType
sourceJournalDescriptionItemType,xbrli:stringItemType
entryOriginItemType,xbrli:stringItemType
postingCodeItemType,xbrli:stringItemType
batchIDItemType,xbrli:stringItemType
batchDescriptionItemType,xbrli:stringItemType
numberOfEntriesItemType,xbrli:integerItemType
totalDebitItemType,xbrli:monetaryItemType
