SemSort	ID	Section	PINT Cardinality	Aligned	Aligned Cardinality	Level	BT	BT_ja	DT	Desc	Desc_ja			Example Value (___)	Synt Sort	element	UBLdatatype	UBL syntax binding XPath	selectors	Code list	UBL Occurrence	CardinalityAlignment		Aligned rule	Shared rule	Codelist rule	Pooled rule
1010	ibg-00	Shared	1..1		1..1	0	Invoice	_________		Commercial invoice	___				1010	ubl:Invoice	InvoiceType	/Invoice			1..1		0	0	0	0	0
1290	ibt-024	Shared	1..1		1..1	2	Specification identifier	__ID	Identifier	"An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms."	_______ID____________________________________________________________________________	"OpenPEPPOL/PINT-JP_issue#9
_The Japan invoice PINT/DDTS compliant identifiers are as follows:
Customization/Specification ID: urn:peppol:pint:billing-3.0@jp:peppol-1
_When using the PINT in Busdox the identifiers are as follows:
Customization/Specification ID: urn:fdc:peppol____billing:3.0"	"JP PINT 0.9.1______
[aligned-ibrp-002-jp]-Business process MUST be in the format 'urn:fdc:peppol.eu:2017:poacc:billing:01:1.0'.
_______Nobu"	urn:fdc:peppol:jp:billing:3.0	1020	cbc:CustomizationID	udt:IdentifierType	/Invoice/cbc:CustomizationID			0..1	CAR-2	CAR-2		[ibr-1]-An Invoice MUST have a Specification identifier (ibt-24).		
1280	ibt-023	Shared	1..1		1..1	2	Business process type	___________	Text	"Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way."	___________________________________________________________	"OpenPEPPOL/PINT-JP_issue#9
_The Japan invoice PINT/DDTS compliant identifiers are as follows:
Profile ID/Business Process type: urn:peppol:bis:billing
_When using the PINT in Busdox the identifiers are as follows:
Profile ID/Business Process type: urn:peppol:bis:billing"		 urn:peppol:bis:billing	1030	cbc:ProfileID	udt:IdentifierType	/Invoice/cbc:ProfileID			0..1	CAR-2	CAR-2		[ibr-76]-Business process (ibt-23) MUST be provided.		
1010	ibt-001	Shared	1..1		1..1	1	Invoice number	_____	Identifier	A unique identification of the Invoice.	___________		____________________________	12345678	1040	cbc:ID	udt:IdentifierType	/Invoice/cbc:ID			1..1				[ibr-2]-An Invoice MUST have an Invoice number (ibt-1).		
1020	ibt-002	Shared	1..1		1..1	1	Invoice issue date	______	Date	The date when the Invoice was issued.	_________	The date is described in the Christian era and is YYYY-MM-DD. 	___________YYYY-MM-DD ____	2023-12-01	1050	cbc:IssueDate	udt:DateType	/Invoice/cbc:IssueDate			1..1				[ibr-3]-An Invoice MUST have an Invoice issue date (ibt-2).		
1030	ibt-168	Shared	0..1		0..1	1	Invoice issue time	_______	Time	The time of day when an invoice was issued	_________				1060	cbc:IssueTime	udt:TimeType	/Invoice/cbc:IssueTime			0..1						
1090	ibt-009	Shared	0..1		0..1	1	Payment due date	____	Date	The date when the payment is due.	______________	The date is described in the Christian era and is YYYY-MM-DD. 	___________YYYY-MM-DD ____	2024-01-31	1070	cbc:DueDate	udt:DateType	/Invoice/cbc:DueDate			0..1						
1040	ibt-003	Shared	1..1		1..1	1	Invoice type code	_________	Code	A code specifying the functional type of the Invoice.	___________________________________	"80	Debit note related to goods or services
82	Metered services invoice
84	Debit note related to financial adjustments
380	Commercial invoice
383	Debit note
386	Prepayment invoice
393	Factored invoice
395	Consignment invoice
575	Insurer's invoice
623	Forwarder's invoice
780	Freight invoice"	______380	380	1080	cbc:InvoiceTypeCode	udt:CodeType	/Invoice/cbc:InvoiceTypeCode		UNCL11-inv	0..1	CAR-2	CAR-2		[ibr-4]-An Invoice MUST have an Invoice type code (ibt-3).	"CODELIST:
[ibr-cl-1]-The document type code MUST be coded by the invoice and credit note related code lists of UNTDID 11."	
1260	ibt-022	Shared	0..1		0..1	1	Invoice note	_______	Text	A textual note that gives unstructured information that is relevant to the Invoice as a whole.	__________________				1090	cbc:Note	udt:TextType	/Invoice/cbc:Note			0..n	CAR-3	CAR-3				
1070	ibt-007	Aligned	0..1		0..1	1	TAX point date	_____	Date	"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the TAX directive."		"The date is described in the Christian era and is YYYY-MM-DD. 
"	___________YYYY-MM-DD ____		1100	cbc:TaxPointDate	udt:DateType	/Invoice/cbc:TaxPointDate			0..1						
