d1,d2,d3,cor-76,cor-79,cor-73,cen-81,cen-83,cen-84,cen-24,cen-35,cen-37,cen-38,cen-40,cen-46,cen-44,cen-50,cen-52,cen-53,cen-55,muc-4,muc-33,cor-22,cen-129,cen-131,cen-151,cen-152,cen-146,bus-143,cen-106,cen-109,cen-111,cen-112,cen-115,cen-116,cen-117,cen-118,cen-119
cG2,,,12115118,2015/1/9,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cG2,eG16,,,,,30,Deb.10202.Fact.12115118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cG2,eG16,eG17,,,,,,NL57RABO0107307510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cG2,eG2,,,,,,,,urn:cen.eu:en16931:2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cG3,eG4,eG5,,,,,,,,Postbus7l,Velsen-Noord,1950AB,NL,,,,,,,,,,,,,,,,,,,,,,,,
cG3,eG7,,,,,,,,,,,,,10202,ODIN59,,,,,,,,,,,,,,,,,,,,,,
cG3,eG7,eG8,,,,,,,,,,,,,,POSTBUS367,HEEMSKERK,1960AJ,NL,,,,,,,,,,,,,,,,,,
cG4,,,,,,,,,,,,,,,,,,,,iso4217:EUR,iso4217:EUR,,,,,,,,,,,,,,,,
cG4,cG5,,,,,,,,,,,,,,,,,,,,,1,2,19.9,,,,,,,,,,,,,
cG4,cG5,cG19,,,,,,,,,,,,,,,,,,,,,,,S,0.06,,,,,,,,,,,
cG4,cG5,eG29,,,,,,,,,,,,,,,,,,,,,,,,,9.95,,,,,,,,,,
cG4,cG5,eG31,,,,,,,,,,,,,,,,,,,,,,,,,,PATATFRITES10MM10KG,,,,,,,,,
cG4,cG5.1,,,,,,,,,,,,,,,,,,,,,2,1,9.85,,,,,,,,,,,,,
cG4,cG5.1,cG19,,,,,,,,,,,,,,,,,,,,,,,S,0.06,,,,,,,,,,,
cG4,cG5.1,eG29,,,,,,,,,,,,,,,,,,,,,,,,,9.85,,,,,,,,,,
cG4,cG5.1,eG31,,,,,,,,,,,,,,,,,,,,,,,,,,PKAAS50PL.JONGBEL.1KG,,,,,,,,,
