Syn Sort,XPath,level,ref,datatype,occurrence
1000,/Invoice/cbc:UBLVersionID,1,cbc:UBLVersionID,Identifier,0..1
1010,/Invoice/cbc:CustomizationID,1,cbc:CustomizationID,Identifier,0..1
1020,/Invoice/cbc:ProfileID,1,cbc:ProfileID,Identifier,0..1
1030,/Invoice/cbc:ProfileExecutionID,1,cbc:ProfileExecutionID,Identifier,0..1
1040,/Invoice/cbc:ID,1,cbc:ID,Identifier,1..1
1050,/Invoice/cbc:CopyIndicator,1,cbc:CopyIndicator,Indicator,0..1
1060,/Invoice/cbc:UUID,1,cbc:UUID,Identifier,0..1
1070,/Invoice/cbc:IssueDate,1,cbc:IssueDate,Date,1..1
1080,/Invoice/cbc:IssueTime,1,cbc:IssueTime,Time,0..1
1090,/Invoice/cbc:DueDate,1,cbc:DueDate,Date,0..1
1100,/Invoice/cbc:InvoiceTypeCode,1,cbc:InvoiceTypeCode,Code,0..1
1110,/Invoice/cbc:Note,1,cbc:Note,Text,0..n
1120,/Invoice/cbc:TaxPointDate,1,cbc:TaxPointDate,Date,0..1
1130,/Invoice/cbc:DocumentCurrencyCode,1,cbc:DocumentCurrencyCode,Code,0..1
1140,/Invoice/cbc:TaxCurrencyCode,1,cbc:TaxCurrencyCode,Code,0..1
1150,/Invoice/cbc:PricingCurrencyCode,1,cbc:PricingCurrencyCode,Code,0..1
1160,/Invoice/cbc:PaymentCurrencyCode,1,cbc:PaymentCurrencyCode,Code,0..1
1170,/Invoice/cbc:PaymentAlternativeCurrencyCode,1,cbc:PaymentAlternativeCurrencyCode,Code,0..1
1180,/Invoice/cbc:AccountingCostCode,1,cbc:AccountingCostCode,Code,0..1
1190,/Invoice/cbc:AccountingCost,1,cbc:AccountingCost,Text,0..1
1200,/Invoice/cbc:LineCountNumeric,1,cbc:LineCountNumeric,Numeric,0..1
1210,/Invoice/cbc:BuyerReference,1,cbc:BuyerReference,Text,0..1
1220,/Invoice/cac:InvoicePeriod,1,cac:InvoicePeriod,PeriodType,0..n
1230,/Invoice/cac:InvoicePeriod/cbc:StartDate,2,cbc:StartDate,Date,0..1
1240,/Invoice/cac:InvoicePeriod/cbc:StartTime,2,cbc:StartTime,Time,0..1
1250,/Invoice/cac:InvoicePeriod/cbc:EndDate,2,cbc:EndDate,Date,0..1
1260,/Invoice/cac:InvoicePeriod/cbc:EndTime,2,cbc:EndTime,Time,0..1
1270,/Invoice/cac:InvoicePeriod/cbc:DurationMeasure,2,cbc:DurationMeasure,Measure,0..1
1280,/Invoice/cac:InvoicePeriod/cbc:DescriptionCode,2,cbc:DescriptionCode,Code,0..n
1290,/Invoice/cac:InvoicePeriod/cbc:Description,2,cbc:Description,Text,0..n
1300,/Invoice/cac:OrderReference,1,cac:OrderReference,OrderReferenceType,0..1
1310,/Invoice/cac:OrderReference/cbc:ID,2,cbc:ID,Identifier,1..1
1320,/Invoice/cac:OrderReference/cbc:SalesOrderID,2,cbc:SalesOrderID,Identifier,0..1
1330,/Invoice/cac:OrderReference/cbc:CopyIndicator,2,cbc:CopyIndicator,Indicator,0..1
1340,/Invoice/cac:OrderReference/cbc:UUID,2,cbc:UUID,Identifier,0..1
1350,/Invoice/cac:OrderReference/cbc:IssueDate,2,cbc:IssueDate,Date,0..1
1360,/Invoice/cac:OrderReference/cbc:IssueTime,2,cbc:IssueTime,Time,0..1
1370,/Invoice/cac:OrderReference/cbc:CustomerReference,2,cbc:CustomerReference,Text,0..1
