SemSort,ID,Section,PINTCard,Aligned,AlignedCard,Level,BT,BT_ja,DT,Desc,Desc_ja,Explanation,Explanation2,Example,SyntSort,element,UBLdatatype,XPath,selectors,Code list,SyntaxCard,UBLOccurrence,CAR,AlignedRule,SharedRule,CodelistRule,PooledRule
1000,ibg-00,,1..1,,1..1,0,Invoice,請求書,,1000,デジタルインボイス,請求書,,,1000,ubl:Invoice,InvoiceType,/ubl:Invoice,,,1..1,1..1,,,,,
1010,ibt-001,Shared,1..1,,1..1,1,Invoice number,請求書番号,Identifier,A unique identification of the Invoice.,請求書番号,請求書の一意識別番号。,売り手が付番した請求書を一意に識別する番号または文字列。,12345678,1030,cbc:ID,udt:IdentifierType,/ubl:Invoice/cbc:ID,,,1..1,1..1,,,[ibr-2]-An Invoice MUST have an Invoice number (ibt-1).,,
1020,ibt-002,Shared,1..1,,1..1,1,Invoice issue date,請求書発行日,Date,The date when the Invoice was issued.,請求書発行日,請求書の発行日付。,日付表示は西暦表示で、YYYY-MM-DD となる。,2023-12-01,1040,cbc:IssueDate,udt:DateType,/ubl:Invoice/cbc:IssueDate,,,1..1,1..1,,,[ibr-3]-An Invoice MUST have an Invoice issue date (ibt-2).,,
1030,ibt-168,Shared,0..1,,0..1,1,Invoice issue time,請求書発行時刻,Time,The time of day when an invoice was issued,請求書発行時刻,請求書の発行時刻。,,,1050,cbc:IssueTime,udt:TimeType,/ubl:Invoice/cbc:IssueTime,,,0..1,0..1,,,,,
1040,ibt-003,Shared,1..1,,1..1,1,Invoice type code,請求書タイプコード,Code,A code specifying the functional type of the Invoice.,請求書タイプコード,この文書のタイプを識別するコード。請求書の機能を特定するためのコード。,適格請求書は380,380,1070,cbc:InvoiceTypeCode,udt:CodeType,/ubl:Invoice/cbc:InvoiceTypeCode,,UNCL11-inv,1..1,0..1,CAR-2,,[ibr-4]-An Invoice MUST have an Invoice type code (ibt-3).,[ibr-cl-1]-The document type code MUST be coded by the invoice and credit note related code lists of UNTDID 11.,
1050,ibt-005,Shared,1..1,,1..1,1,Invoice currency code,請求書通貨コード,Code,"The currency in which all Invoice amounts are given, except for the Total TAX amount in accounting currency.",請求書通貨コード,請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。,通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。,JPY,1100,cbc:DocumentCurrencyCode,udt:CodeType,/ubl:Invoice/cbc:DocumentCurrencyCode,,ISO4217,1..1,0..1,CAR-2,,"[ibr-5]-An Invoice MUST have an Invoice currency code (ibt-5).
[ibr-77]-Tax accounting currency code (ibt-6) MUST be different from invoice currency code (ibt-5) when provided.",[ibr-cl-4]-Invoice currency code MUST be coded using ISO code list 4217 alpha-3,
1060,ibt-006,Aligned,0..1,,0..1,1,Tax accounting currency,税会計報告用通貨コード,Code,The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.,税会計報告用通貨コード,会計報告や税務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や税務報告に使用する通貨を表すコード。,通貨コードは、ISO 4217 Currency codes で定められているものを使用しなければならない。,,1110,cbc:TaxCurrencyCode,udt:CodeType,/ubl:Invoice/cbc:TaxCurrencyCode,,ISO4217,0..1,0..1,,"[aligned-ibr-jp-5]-If Tax accounting currency (ibt-6) is present, it shall be coded using JPY in ISO code list of 4217 a-3.","[ibr-53]-If the Tax accounting currency code (ibt-6) is present, then the Invoice total Tax amount in accounting currency (ibt-111) MUST be provided.
[ibr-77]-Tax accounting currency code (ibt-6) MUST be different from invoice currency code (ibt-5) when provided.",[ibr-cl-5]-Tax currency code MUST be coded using ISO code list 4217 alpha-3,[aligned-ibrp-22]-Only one tax total without tax subtotals (ibg-37) MUST be provided when tax currency code (ibt-6) is provided.
1070,ibt-007,Aligned,0..1,,0..1,1,TAX point date,課税基準日,Date,"The date when the TAX becomes accountable for the Seller and for the Buyer in so far as that date can be determined and differs from the date of issue of the invoice, according to the TAX directive.",課税基準日,,日付表示は西暦表示で、YYYY-MM-DD となる。,,1090,cbc:TaxPointDate,udt:DateType,/ubl:Invoice/cbc:TaxPointDate,,,0..1,0..1,,,,,
1080,ibt-008,Aligned,0..1,,0..1,1,TAX point date code,課税基準日コード,Code,The code of the date when the TAX becomes accountable for the Seller and for the Buyer.,課税基準日コード,売り手、買い手が税を記帳する日付が何であるかを示すコード。,"VAT date code (UNCL2005 subset) から選択する。
3 Invoice document issue date time (請求書発行日付時刻)
35 Delivery date/time, actual (実際納入日付時刻)
432 Paid to date (支払日)",3,1170,cbc:DescriptionCode,udt:CodeType,/ubl:Invoice/cac:InvoicePeriod/cbc:DescriptionCode,,UNCL25,0..1,0..n,CAR-3,,,NOBU: may need codelist requirement for UNCL25,
1090,ibt-009,Shared,0..1,,0..1,1,Payment due date,支払期日,Date,The date when the payment is due.,支払期日,支払条件で示された支払期日。,日付表示は西暦表示で、YYYY-MM-DD となる。,2024-01-31,1060,cbc:DueDate,udt:DateType,/ubl:Invoice/cbc:DueDate,,,0..1,0..1,,,,,
